año,cod_depto,departamento,num_hurtos,log_num_hurtos
2003,05,Antioquia,4218,3.625209525381881
2004,05,Antioquia,3097,3.491081413423187
2005,05,Antioquia,1773,3.2489536154957075
2006,05,Antioquia,1493,3.1743505974793798
2007,05,Antioquia,1247,3.0962145853464054
2008,05,Antioquia,1208,3.0824263008607717
2009,05,Antioquia,1606,3.2060158767633444
2010,05,Antioquia,1125,3.0515383905153275
2011,05,Antioquia,2634,3.4207806195485655
2012,05,Antioquia,2486,3.395675785269936
2013,05,Antioquia,2404,3.3811150807098507
2014,05,Antioquia,1629,3.2121876044039577
2015,05,Antioquia,1447,3.1607685618611283
2016,05,Antioquia,1300,3.1142772965615864
2017,05,Antioquia,1572,3.196728722623287
2018,05,Antioquia,1543,3.188647295999717
2019,05,Antioquia,1567,3.1953460583484197
2020,05,Antioquia,1475,3.1690863574870227
2021,05,Antioquia,1529,3.184691430817599
2022,05,Antioquia,1814,3.258876629372131
2023,05,Antioquia,1767,3.2474822606770544
2024,05,Antioquia,1763,3.246498580795801
2003,08,Atlántico,424,2.6283889300503116
2004,08,Atlántico,446,2.6503075231319366
2005,08,Atlántico,425,2.629409599102719
2006,08,Atlántico,517,2.714329759745233
2007,08,Atlántico,466,2.6693168805661123
2008,08,Atlántico,422,2.6263403673750423
2009,08,Atlántico,379,2.57978359661681
2010,08,Atlántico,454,2.6580113966571126
2011,08,Atlántico,644,2.8095597146352675
2012,08,Atlántico,545,2.7371926427047373
2013,08,Atlántico,374,2.574031267727719
2014,08,Atlántico,342,2.5352941200427703
2015,08,Atlántico,298,2.4756711883244296
2016,08,Atlántico,280,2.44870631990508
2017,08,Atlántico,398,2.6009728956867484
2018,08,Atlántico,321,2.507855871695831
2019,08,Atlántico,313,2.496929648073215
2020,08,Atlántico,295,2.4712917110589387
2021,08,Atlántico,560,2.7489628612561616
2022,08,Atlántico,657,2.8182258936139557
2023,08,Atlántico,688,2.8382192219076257
2024,08,Atlántico,571,2.7573960287930244
2003,11,Bogotá D.C.,5042,3.7026889681591335
2004,11,Bogotá D.C.,4249,3.6283889300503116
2005,11,Bogotá D.C.,4637,3.6663307443019684
2006,11,Bogotá D.C.,3640,3.561220678933944
2007,11,Bogotá D.C.,3143,3.4974825373673704
2008,11,Bogotá D.C.,2978,3.4740705032150436
2009,11,Bogotá D.C.,2980,3.4743619760326307
2010,11,Bogotá D.C.,2946,3.469380135849925
2011,11,Bogotá D.C.,3111,3.4930395883176515
2012,11,Bogotá D.C.,2373,3.3754807146185724
2013,11,Bogotá D.C.,2231,3.348694190265541
2014,11,Bogotá D.C.,2295,3.3609718837259357
2015,11,Bogotá D.C.,2284,3.358886204405869
2016,11,Bogotá D.C.,2653,3.4239009185284166
2017,11,Bogotá D.C.,3414,3.5333907080175515
2018,11,Bogotá D.C.,3650,3.5624118329497274
2019,11,Bogotá D.C.,3637,3.5608626947274646
2020,11,Bogotá D.C.,3432,3.53567380342575
2021,11,Bogotá D.C.,3796,3.579440597139797
2022,11,Bogotá D.C.,3731,3.571941635074462
2023,11,Bogotá D.C.,4233,3.6267508536833932
2024,11,Bogotá D.C.,4070,3.6097011023793995
2003,13,Bolívar,141,2.1522883443830563
2004,13,Bolívar,91,1.9637878273455553
2005,13,Bolívar,67,1.8325089127062364
2006,13,Bolívar,84,1.9294189257142926
2007,13,Bolívar,63,1.806179973983887
2008,13,Bolívar,70,1.8512583487190752
2009,13,Bolívar,57,1.7634279935629373
2010,13,Bolívar,34,1.5440680443502757
2011,13,Bolívar,58,1.7708520116421442
2012,13,Bolívar,38,1.591064607026499
2013,13,Bolívar,22,1.3617278360175928
2014,13,Bolívar,30,1.4913616938342726
2015,13,Bolívar,26,1.4313637641589874
2016,13,Bolívar,22,1.3617278360175928
2017,13,Bolívar,89,1.954242509439325
2018,13,Bolívar,72,1.863322860120456
2019,13,Bolívar,104,2.0211892990699383
2020,13,Bolívar,77,1.8920946026904804
2021,13,Bolívar,119,2.0791812460476247
2022,13,Bolívar,142,2.155336037465062
2023,13,Bolívar,130,2.1172712956557644
2024,13,Bolívar,114,2.060697840353612
2003,15,Boyacá,116,2.0681858617461617
2004,15,Boyacá,68,1.8388490907372552
2005,15,Boyacá,71,1.8573324964312685
2006,15,Boyacá,76,1.8864907251724818
2007,15,Boyacá,50,1.7075701760979363
2008,15,Boyacá,50,1.7075701760979363
2009,15,Boyacá,38,1.591064607026499
2010,15,Boyacá,41,1.6232492903979006
2011,15,Boyacá,54,1.7403626894942439
2012,15,Boyacá,61,1.792391689498254
2013,15,Boyacá,54,1.7403626894942439
2014,15,Boyacá,27,1.4471580313422192
2015,15,Boyacá,43,1.6434526764861874
2016,15,Boyacá,29,1.4771212547196624
2017,15,Boyacá,48,1.6901960800285136
2018,15,Boyacá,35,1.5563025007672873
2019,15,Boyacá,46,1.6720978579357175
2020,15,Boyacá,25,1.414973347970818
2021,15,Boyacá,34,1.5440680443502757
2022,15,Boyacá,41,1.6232492903979006
2023,15,Boyacá,54,1.7403626894942439
2024,15,Boyacá,38,1.591064607026499
2003,17,Caldas,92,1.968482948553935
2004,17,Caldas,91,1.9637878273455553
2005,17,Caldas,77,1.8920946026904804
2006,17,Caldas,77,1.8920946026904804
2007,17,Caldas,87,1.9444826721501687
2008,17,Caldas,66,1.8260748027008264
2009,17,Caldas,74,1.8750612633917
2010,17,Caldas,47,1.6812412373755872
2011,17,Caldas,28,1.462397997898956
2012,17,Caldas,29,1.4771212547196624
2013,17,Caldas,42,1.6334684555795864
2014,17,Caldas,34,1.5440680443502757
2015,17,Caldas,33,1.5314789170422551
2016,17,Caldas,36,1.568201724066995
2017,17,Caldas,29,1.4771212547196624
2018,17,Caldas,28,1.462397997898956
2019,17,Caldas,19,1.3010299956639813
2020,17,Caldas,16,1.2304489213782739
2021,17,Caldas,16,1.2304489213782739
2022,17,Caldas,22,1.3617278360175928
2023,17,Caldas,29,1.4771212547196624
2024,17,Caldas,23,1.380211241711606
2003,18,Caquetá,19,1.3010299956639813
2004,18,Caquetá,14,1.1760912590556813
2005,18,Caquetá,8,0.9542425094393249
2006,18,Caquetá,11,1.0791812460476249
2007,18,Caquetá,7,0.9030899869919435
2008,18,Caquetá,5,0.7781512503836436
2009,18,Caquetá,7,0.9030899869919435
2010,18,Caquetá,7,0.9030899869919435
2011,18,Caquetá,7,0.9030899869919435
2012,18,Caquetá,15,1.2041199826559248
2013,18,Caquetá,14,1.1760912590556813
2014,18,Caquetá,12,1.1139433523068367
2015,18,Caquetá,10,1.0413926851582251
2016,18,Caquetá,9,1.0
2017,18,Caquetá,11,1.0791812460476249
2018,18,Caquetá,7,0.9030899869919435
2019,18,Caquetá,10,1.0413926851582251
2020,18,Caquetá,4,0.6989700043360189
2021,18,Caquetá,7,0.9030899869919435
2022,18,Caquetá,2,0.47712125471966244
2023,18,Caquetá,6,0.8450980400142568
2024,18,Caquetá,17,1.255272505103306
2003,19,Cauca,219,2.342422680822206
2004,19,Cauca,204,2.311753861055754
2005,19,Cauca,201,2.305351369446624
2006,19,Cauca,182,2.2624510897304293
2007,19,Cauca,144,2.161368002234975
2008,19,Cauca,120,2.0827853703164503
2009,19,Cauca,84,1.9294189257142926
2010,19,Cauca,93,1.9731278535996986
2011,19,Cauca,148,2.173186268412274
2012,19,Cauca,322,2.509202522331103
2013,19,Cauca,333,2.5237464668115646
2014,19,Cauca,240,2.3820170425748683
2015,19,Cauca,268,2.429752280002408
2016,19,Cauca,326,2.514547752660286
2017,19,Cauca,335,2.526339277389844
2018,19,Cauca,372,2.571708831808688
2019,19,Cauca,430,2.6344772701607315
2020,19,Cauca,369,2.568201724066995
2021,19,Cauca,450,2.6541765418779604
2022,19,Cauca,524,2.720159303405957
2023,19,Cauca,558,2.747411807886423
2024,19,Cauca,580,2.7641761323903307
2003,20,Cesar,85,1.9344984512435677
2004,20,Cesar,53,1.7323937598229686
2005,20,Cesar,51,1.7160033436347992
2006,20,Cesar,55,1.7481880270062005
2007,20,Cesar,64,1.8129133566428555
2008,20,Cesar,63,1.806179973983887
2009,20,Cesar,67,1.8325089127062364
2010,20,Cesar,59,1.7781512503836436
2011,20,Cesar,63,1.806179973983887
2012,20,Cesar,118,2.0755469613925306
2013,20,Cesar,180,2.2576785748691846
2014,20,Cesar,135,2.1335389083702174
2015,20,Cesar,217,2.3384564936046046
2016,20,Cesar,275,2.4409090820652177
2017,20,Cesar,212,2.3283796034387376
2018,20,Cesar,222,2.3483048630481607
2019,20,Cesar,199,2.3010299956639813
2020,20,Cesar,157,2.1986570869544226
2021,20,Cesar,169,2.230448921378274
2022,20,Cesar,184,2.2671717284030137
2023,20,Cesar,195,2.292256071356476
2024,20,Cesar,272,2.436162647040756
2003,23,Córdoba,24,1.3979400086720377
2004,23,Córdoba,9,1.0
2005,23,Córdoba,8,0.9542425094393249
2006,23,Córdoba,3,0.6020599913279624
2007,23,Córdoba,3,0.6020599913279624
2008,23,Córdoba,9,1.0
2009,23,Córdoba,2,0.47712125471966244
2010,23,Córdoba,2,0.47712125471966244
2011,23,Córdoba,1,0.3010299956639812
2012,23,Córdoba,8,0.9542425094393249
2013,23,Córdoba,30,1.4913616938342726
2014,23,Córdoba,20,1.3222192947339193
2015,23,Córdoba,15,1.2041199826559248
2016,23,Córdoba,11,1.0791812460476249
2017,23,Córdoba,27,1.4471580313422192
2018,23,Córdoba,36,1.568201724066995
2019,23,Córdoba,31,1.505149978319906
2020,23,Córdoba,17,1.255272505103306
2021,23,Córdoba,20,1.3222192947339193
2022,23,Córdoba,42,1.6334684555795864
2023,23,Córdoba,21,1.3424226808222062
2024,23,Córdoba,21,1.3424226808222062
2003,25,Cundinamarca,362,2.5599066250361124
2004,25,Cundinamarca,137,2.1398790864012365
2005,25,Cundinamarca,129,2.113943352306837
2006,25,Cundinamarca,207,2.3180633349627615
2007,25,Cundinamarca,327,2.515873843711679
2008,25,Cundinamarca,307,2.4885507165004443
2009,25,Cundinamarca,223,2.3502480183341627
2010,25,Cundinamarca,159,2.2041199826559246
2011,25,Cundinamarca,138,2.143014800254095
2012,25,Cundinamarca,76,1.8864907251724818
2013,25,Cundinamarca,141,2.1522883443830563
2014,25,Cundinamarca,114,2.060697840353612
2015,25,Cundinamarca,108,2.037426497940624
2016,25,Cundinamarca,70,1.8512583487190752
2017,25,Cundinamarca,436,2.640481436970422
2018,25,Cundinamarca,416,2.6201360549737576
2019,25,Cundinamarca,464,2.667452952889954
2020,25,Cundinamarca,474,2.6766936096248664
2021,25,Cundinamarca,646,2.8109042806687006
2022,25,Cundinamarca,759,2.8808135922807914
2023,25,Cundinamarca,689,2.838849090737255
2024,25,Cundinamarca,498,2.6981005456233897
2003,27,Chocó,1,0.3010299956639812
2004,27,Chocó,1,0.3010299956639812
2005,27,Chocó,0,0.0
2006,27,Chocó,1,0.3010299956639812
2007,27,Chocó,0,0.0
2008,27,Chocó,0,0.0
2009,27,Chocó,0,0.0
2010,27,Chocó,0,0.0
2011,27,Chocó,0,0.0
2012,27,Chocó,0,0.0
2013,27,Chocó,0,0.0
