año,cod_depto,departamento,num_hurtos,log_num_hurtos
2003,05,Antioquia,2824,3.4510184521554574
2004,05,Antioquia,2103,3.3230457354817013
2005,05,Antioquia,1868,3.271609301378832
2006,05,Antioquia,1688,3.227629649571009
2007,05,Antioquia,1509,3.1789769472931693
2008,05,Antioquia,1560,3.1934029030624176
2009,05,Antioquia,2205,3.343605508104172
2010,05,Antioquia,1517,3.1812717715594614
2011,05,Antioquia,6498,3.812846536967071
2012,05,Antioquia,6189,3.791690649020118
2013,05,Antioquia,6637,3.822037248072585
2014,05,Antioquia,5824,3.7652959296980564
2015,05,Antioquia,6139,3.788168371141168
2016,05,Antioquia,7224,3.8588378514285853
2017,05,Antioquia,6572,3.817763632280368
2018,05,Antioquia,7647,3.883547879268044
2019,05,Antioquia,7778,3.890923771489014
2020,05,Antioquia,6342,3.802294711397464
2021,05,Antioquia,7547,3.8778318914928938
2022,05,Antioquia,8927,3.9507541815935037
2023,05,Antioquia,9863,3.994053063587675
2024,05,Antioquia,9228,3.9651546459869254
2003,08,Atlántico,450,2.6541765418779604
2004,08,Atlántico,541,2.733999286538387
2005,08,Atlántico,825,2.9169800473203824
2006,08,Atlántico,1169,3.0681858617461617
2007,08,Atlántico,1029,3.012837224705172
2008,08,Atlántico,1269,3.103803720955957
2009,08,Atlántico,1005,3.0025979807199086
2010,08,Atlántico,984,2.9934362304976116
2011,08,Atlántico,1083,3.0350292822023683
2012,08,Atlántico,1115,3.04766419460156
2013,08,Atlántico,922,2.965201701025912
2014,08,Atlántico,924,2.9661417327390325
2015,08,Atlántico,1257,3.09968064110925
2016,08,Atlántico,1540,3.1878026387184195
2017,08,Atlántico,1579,3.1986570869544226
2018,08,Atlántico,1352,3.131297796597623
2019,08,Atlántico,1664,3.2214142378423385
2020,08,Atlántico,1375,3.1386184338994925
2021,08,Atlántico,2311,3.3639878297484915
2022,08,Atlántico,2118,3.3261309567107946
2023,08,Atlántico,2511,3.4000196350651586
2024,08,Atlántico,1986,3.298197867109815
2003,11,Bogotá D.C.,1231,3.090610707828407
2004,11,Bogotá D.C.,1177,3.0711452904510828
2005,11,Bogotá D.C.,1229,3.089905111439398
2006,11,Bogotá D.C.,1207,3.082066934285113
2007,11,Bogotá D.C.,1028,3.012415374762433
2008,11,Bogotá D.C.,1001,3.0008677215312267
2009,11,Bogotá D.C.,1433,3.1565491513317814
2010,11,Bogotá D.C.,1568,3.1956229435869368
2011,11,Bogotá D.C.,1856,3.2688119037397803
2012,11,Bogotá D.C.,1901,3.279210512601395
2013,11,Bogotá D.C.,2283,3.3586960995738107
2014,11,Bogotá D.C.,2788,3.44544851426605
2015,11,Bogotá D.C.,3283,3.516403148447403
2016,11,Bogotá D.C.,3102,3.491781775584166
2017,11,Bogotá D.C.,3417,3.533772058384718
2018,11,Bogotá D.C.,3998,3.6019514041335214
2019,11,Bogotá D.C.,4159,3.6190933306267428
2020,11,Bogotá D.C.,3652,3.5626496722119168
2021,11,Bogotá D.C.,4840,3.6849350826408895
2022,11,Bogotá D.C.,5049,3.7032913781186614
2023,11,Bogotá D.C.,5567,3.7456992266025058
2024,11,Bogotá D.C.,5242,3.719579857713723
2003,13,Bolívar,330,2.519827993775719
2004,13,Bolívar,450,2.6541765418779604
2005,13,Bolívar,407,2.61066016308988
2006,13,Bolívar,585,2.767897616018091
2007,13,Bolívar,374,2.574031267727719
2008,13,Bolívar,431,2.635483746814912
2009,13,Bolívar,339,2.531478917042255
2010,13,Bolívar,384,2.5854607295085006
2011,13,Bolívar,397,2.5998830720736876
2012,13,Bolívar,444,2.6483600109809315
2013,13,Bolívar,295,2.4712917110589387
2014,13,Bolívar,436,2.640481436970422
2015,13,Bolívar,406,2.60959440922522
2016,13,Bolívar,455,2.658964842664435
2017,13,Bolívar,1311,3.1179338350396413
2018,13,Bolívar,1205,3.0813473078041325
2019,13,Bolívar,1311,3.1179338350396413
2020,13,Bolívar,810,2.909020854211156
2021,13,Bolívar,699,2.845098040014257
2022,13,Bolívar,781,2.893206753059848
2023,13,Bolívar,833,2.921166050637739
2024,13,Bolívar,948,2.977266212427293
2003,15,Boyacá,65,1.8195439355418688
2004,15,Boyacá,56,1.7558748556724915
2005,15,Boyacá,77,1.8920946026904804
2006,15,Boyacá,77,1.8920946026904804
2007,15,Boyacá,61,1.792391689498254
2008,15,Boyacá,59,1.7781512503836436
2009,15,Boyacá,63,1.806179973983887
2010,15,Boyacá,60,1.7853298350107671
2011,15,Boyacá,69,1.845098040014257
2012,15,Boyacá,61,1.792391689498254
2013,15,Boyacá,93,1.9731278535996986
2014,15,Boyacá,60,1.7853298350107671
2015,15,Boyacá,64,1.8129133566428555
2016,15,Boyacá,76,1.8864907251724818
2017,15,Boyacá,106,2.0293837776852097
2018,15,Boyacá,114,2.060697840353612
2019,15,Boyacá,148,2.173186268412274
2020,15,Boyacá,98,1.99563519459755
2021,15,Boyacá,172,2.2380461031287955
2022,15,Boyacá,195,2.292256071356476
2023,15,Boyacá,208,2.3201462861110542
2024,15,Boyacá,150,2.1789769472931693
2003,17,Caldas,286,2.4578818967339924
2004,17,Caldas,205,2.3138672203691533
2005,17,Caldas,176,2.247973266361807
2006,17,Caldas,115,2.0644579892269186
2007,17,Caldas,98,1.99563519459755
2008,17,Caldas,121,2.0863598306747484
2009,17,Caldas,121,2.0863598306747484
2010,17,Caldas,78,1.8976270912904414
2011,17,Caldas,93,1.9731278535996986
2012,17,Caldas,98,1.99563519459755
2013,17,Caldas,125,2.100370545117563
2014,17,Caldas,117,2.0718820073061255
2015,17,Caldas,113,2.0569048513364727
2016,17,Caldas,144,2.161368002234975
2017,17,Caldas,119,2.0791812460476247
2018,17,Caldas,123,2.093421685162235
2019,17,Caldas,88,1.9493900066449128
2020,17,Caldas,71,1.8573324964312685
2021,17,Caldas,104,2.0211892990699383
2022,17,Caldas,131,2.12057393120585
2023,17,Caldas,140,2.1492191126553797
2024,17,Caldas,134,2.130333768495006
2003,18,Caquetá,144,2.161368002234975
2004,18,Caquetá,125,2.100370545117563
2005,18,Caquetá,69,1.845098040014257
2006,18,Caquetá,81,1.9138138523837167
2007,18,Caquetá,77,1.8920946026904804
2008,18,Caquetá,61,1.792391689498254
2009,18,Caquetá,92,1.968482948553935
2010,18,Caquetá,142,2.155336037465062
2011,18,Caquetá,122,2.089905111439398
2012,18,Caquetá,163,2.214843848047698
2013,18,Caquetá,231,2.3654879848909
2014,18,Caquetá,289,2.462397997898956
2015,18,Caquetá,352,2.5477747053878224
2016,18,Caquetá,560,2.7489628612561616
2017,18,Caquetá,355,2.5514499979728753
2018,18,Caquetá,336,2.5276299008713385
2019,18,Caquetá,349,2.5440680443502757
2020,18,Caquetá,182,2.2624510897304293
2021,18,Caquetá,248,2.3961993470957363
2022,18,Caquetá,255,2.4082399653118496
2023,18,Caquetá,247,2.3944516808262164
2024,18,Caquetá,232,2.367355921026019
2003,19,Cauca,182,2.2624510897304293
2004,19,Cauca,175,2.24551266781415
2005,19,Cauca,187,2.27415784926368
2006,19,Cauca,220,2.3443922736851106
2007,19,Cauca,219,2.342422680822206
2008,19,Cauca,235,2.3729120029701067
2009,19,Cauca,254,2.406540180433955
2010,19,Cauca,371,2.5705429398818973
2011,19,Cauca,629,2.7993405494535817
2012,19,Cauca,1305,3.115943176939055
2013,19,Cauca,1327,3.1231980750319988
2014,19,Cauca,1245,3.095518042323151
2015,19,Cauca,1598,3.2038484637462346
2016,19,Cauca,2341,3.369586890736344
2017,19,Cauca,2123,3.3271545124094315
2018,19,Cauca,2221,3.346744054604849
2019,19,Cauca,2790,3.445759836488631
2020,19,Cauca,1714,3.2342641243787895
2021,19,Cauca,2079,3.3180633349627615
2022,19,Cauca,2286,3.3592661646067485
2023,19,Cauca,2211,3.344785122632661
2024,19,Cauca,2379,3.376576957056512
2003,20,Cesar,133,2.1271047983648077
2004,20,Cesar,87,1.9444826721501687
2005,20,Cesar,71,1.8573324964312685
2006,20,Cesar,113,2.0569048513364727
2007,20,Cesar,113,2.0569048513364727
2008,20,Cesar,224,2.3521825181113627
2009,20,Cesar,276,2.4424797690644486
2010,20,Cesar,289,2.462397997898956
2011,20,Cesar,334,2.525044807036845
2012,20,Cesar,454,2.6580113966571126
2013,20,Cesar,797,2.9020028913507296
2014,20,Cesar,782,2.8937617620579434
2015,20,Cesar,1039,3.0170333392987803
2016,20,Cesar,1279,3.1072099696478683
2017,20,Cesar,1240,3.09377178149873
2018,20,Cesar,1200,3.079543007402906
2019,20,Cesar,1205,3.0813473078041325
2020,20,Cesar,841,2.9253120914996495
2021,20,Cesar,819,2.9138138523837167
2022,20,Cesar,1062,3.0265332645232967
2023,20,Cesar,1255,3.0989896394011773
2024,20,Cesar,1267,3.1031192535457137
2003,23,Córdoba,154,2.1903316981702914
2004,23,Córdoba,78,1.8976270912904414
2005,23,Córdoba,49,1.6989700043360187
2006,23,Córdoba,74,1.8750612633917
2007,23,Córdoba,65,1.8195439355418688
2008,23,Córdoba,60,1.7853298350107671
2009,23,Córdoba,55,1.7481880270062005
2010,23,Córdoba,47,1.6812412373755872
2011,23,Córdoba,87,1.9444826721501687
2012,23,Córdoba,170,2.2329961103921536
2013,23,Córdoba,455,2.658964842664435
2014,23,Córdoba,528,2.7234556720351857
2015,23,Córdoba,525,2.7209857441537393
2016,23,Córdoba,688,2.8382192219076257
2017,23,Córdoba,870,2.9400181550076634
2018,23,Córdoba,818,2.9132839017604186
2019,23,Córdoba,732,2.8651039746411278
2020,23,Córdoba,387,2.5888317255942073
2021,23,Córdoba,476,2.678518379040114
2022,23,Córdoba,547,2.738780558484369
2023,23,Córdoba,572,2.75815462196739
2024,23,Córdoba,451,2.655138434811382
2003,25,Cundinamarca,193,2.287801729930226
2004,25,Cundinamarca,67,1.8325089127062364
2005,25,Cundinamarca,44,1.6532125137753437
2006,25,Cundinamarca,97,1.9912260756924949
2007,25,Cundinamarca,122,2.089905111439398
2008,25,Cundinamarca,129,2.113943352306837
2009,25,Cundinamarca,100,2.0043213737826426
2010,25,Cundinamarca,89,1.954242509439325
2011,25,Cundinamarca,119,2.0791812460476247
2012,25,Cundinamarca,60,1.7853298350107671
2013,25,Cundinamarca,194,2.290034611362518
2014,25,Cundinamarca,163,2.214843848047698
2015,25,Cundinamarca,135,2.1335389083702174
2016,25,Cundinamarca,52,1.724275869600789
2017,25,Cundinamarca,762,2.8825245379548803
2018,25,Cundinamarca,642,2.808210972924222
2019,25,Cundinamarca,882,2.9459607035775686
2020,25,Cundinamarca,744,2.8721562727482928
2021,25,Cundinamarca,1442,3.159266331093494
2022,25,Cundinamarca,1586,3.2005769267548483
2023,25,Cundinamarca,1327,3.1231980750319988
2024,25,Cundinamarca,1025,3.0111473607757975
2003,27,Chocó,34,1.5440680443502757
2004,27,Chocó,27,1.4471580313422192
2005,27,Chocó,33,1.5314789170422551
2006,27,Chocó,24,1.3979400086720377
2007,27,Chocó,19,1.3010299956639813
2008,27,Chocó,20,1.3222192947339193
2009,27,Chocó,43,1.6434526764861874
2010,27,Chocó,24,1.3979400086720377
2011,27,Chocó,14,1.1760912590556813
2012,27,Chocó,242,2.385606273598312
2013,27,Chocó,237,2.376576957056512
2014,27,Chocó,322,2.509202522331103
2015,27,Chocó,320,2.506505032404872
2016,27,Chocó,316,2.5010592622177517
2017,27,Chocó,329,2.5185139398778875
2018,27,Chocó,400,2.603144372620182
2019,27,Chocó,445,2.649334858712142
2020,27,Chocó,281,2.450249108319361
2021,27,Chocó,337,2.5289167002776547
2022,27,Chocó,401,2.60422605308447
2023,27,Chocó,466,2.6693168805661123
2024,27,Chocó,392,2.5943925503754266
2003,41,Huila,700,2.8457180179666586
2004,41,Huila,679,2.832508912706236
2005,41,Huila,451,2.655138434811382
2006,41,Huila,365,2.5634810853944106
2007,41,Huila,450,2.6541765418779604
2008,41,Huila,631,2.800717078282385
2009,41,Huila,627,2.797959643737196
2010,41,Huila,803,2.905256048748451
2011,41,Huila,1022,3.00987563371216
2012,41,Huila,1291,3.1112625136590655
2013,41,Huila,942,2.9745116927373285
2014,41,Huila,719,2.8573324964312685
2015,41,Huila,852,2.930949031167523
2016,41,Huila,892,2.9508514588885464
2017,41,Huila,825,2.9169800473203824
2018,41,Huila,744,2.8721562727482928
2019,41,Huila,880,2.9449759084120477
2020,41,Huila,677,2.8312296938670634
2021,41,Huila,1195,3.077731179652392
2022,41,Huila,1893,3.2773799746672547
2023,41,Huila,2195,3.3416323357780544
2024,41,Huila,2029,3.307496037913213
2003,44,La Guajira,3,0.6020599913279624
2004,44,La Guajira,1,0.3010299956639812
2005,44,La Guajira,1,0.3010299956639812
2006,44,La Guajira,35,1.5563025007672873
2007,44,La Guajira,127,2.1072099696478683
2008,44,La Guajira,153,2.187520720836463
2009,44,La Guajira,131,2.12057393120585
2010,44,La Guajira,207,2.3180633349627615
2011,44,La Guajira,172,2.2380461031287955
2012,44,La Guajira,305,2.48572142648158
2013,44,La Guajira,442,2.6464037262230695
2014,44,La Guajira,704,2.848189116991399
2015,44,La Guajira,857,2.9334872878487053
2016,44,La Guajira,1101,3.042181594515766
2017,44,La Guajira,1075,3.0318122713303706
2018,44,La Guajira,824,2.916453948549925
2019,44,La Guajira,760,2.8813846567705728
2020,44,La Guajira,639,2.806179973983887
2021,44,La Guajira,587,2.7693773260761385
2022,44,La Guajira,857,2.9334872878487053
2023,44,La Guajira,778,2.8915374576725643
2024,44,La Guajira,627,2.797959643737196
2003,47,Magdalena,41,1.6232492903979006
2004,47,Magdalena,54,1.7403626894942439
2005,47,Magdalena,100,2.0043213737826426
2006,47,Magdalena,215,2.3344537511509307
2007,47,Magdalena,260,2.416640507338281
2008,47,Magdalena,307,2.4885507165004443
2009,47,Magdalena,289,2.462397997898956
2010,47,Magdalena,236,2.374748346010104
2011,47,Magdalena,284,2.45484486000851
2012,47,Magdalena,397,2.5998830720736876
2013,47,Magdalena,444,2.6483600109809315
2014,47,Magdalena,353,2.5490032620257876
2015,47,Magdalena,377,2.5774917998372255
2016,47,Magdalena,492,2.69284691927723
2017,47,Magdalena,676,2.8305886686851442
2018,47,Magdalena,805,2.906335041805091
2019,47,Magdalena,840,2.924795995797912
2020,47,Magdalena,550,2.741151598851785
2021,47,Magdalena,428,2.6324572921847245
2022,47,Magdalena,709,2.8512583487190755
2023,47,Magdalena,747,2.8739015978644615
2024,47,Magdalena,526,2.7218106152125467
2003,50,Meta,340,2.5327543789924976
2004,50,Meta,168,2.2278867046136734
2005,50,Meta,192,2.285557309007774
2006,50,Meta,301,2.4800069429571505
2007,50,Meta,322,2.509202522331103
2008,50,Meta,503,2.7024305364455254
2009,50,Meta,517,2.714329759745233
2010,50,Meta,671,2.8273692730538253
2011,50,Meta,609,2.785329835010767
2012,50,Meta,597,2.776701183988411
2013,50,Meta,665,2.823474229170301
2014,50,Meta,814,2.9111576087399764
2015,50,Meta,864,2.9370161074648142
2016,50,Meta,866,2.9380190974762104
2017,50,Meta,852,2.930949031167523
2018,50,Meta,882,2.9459607035775686
2019,50,Meta,824,2.916453948549925
2020,50,Meta,607,2.783903579272735
2021,50,Meta,792,2.8992731873176036
2022,50,Meta,983,2.9929950984313414
2023,50,Meta,1200,3.079543007402906
2024,50,Meta,1200,3.079543007402906
2003,52,Nariño,571,2.7573960287930244
2004,52,Nariño,523,2.7193312869837265
2005,52,Nariño,337,2.5289167002776547
2006,52,Nariño,213,2.330413773349191
2007,52,Nariño,201,2.305351369446624
2008,52,Nariño,279,2.4471580313422194
2009,52,Nariño,278,2.4456042032735974
2010,52,Nariño,313,2.496929648073215
2011,52,Nariño,993,2.997386384397313
2012,52,Nariño,998,2.9995654882259823
2013,52,Nariño,796,2.9014583213961123
2014,52,Nariño,621,2.7937903846908188
2015,52,Nariño,728,2.8627275283179747
2016,52,Nariño,871,2.940516484932567
2017,52,Nariño,1107,3.044539760392411
2018,52,Nariño,1096,3.0402066275747113
2019,52,Nariño,1183,3.073351702386901
2020,52,Nariño,666,2.824125833916549
2021,52,Nariño,859,2.934498451243568
2022,52,Nariño,1071,3.030194785356751
2023,52,Nariño,1330,3.124178055474675
2024,52,Nariño,1132,3.0542299098633974
2003,54,Norte De Santander,335,2.526339277389844
2004,54,Norte De Santander,434,2.6384892569546374
2005,54,Norte De Santander,255,2.4082399653118496
2006,54,Norte De Santander,161,2.2095150145426308
2007,54,Norte De Santander,151,2.1818435879447726
2008,54,Norte De Santander,196,2.294466226161593
2009,54,Norte De Santander,197,2.296665190261531
2010,54,Norte De Santander,237,2.376576957056512
2011,54,Norte De Santander,457,2.660865478003869
2012,54,Norte De Santander,560,2.7489628612561616
2013,54,Norte De Santander,545,2.7371926427047373
2014,54,Norte De Santander,909,2.9590413923210934
2015,54,Norte De Santander,1647,3.216957207361097
2016,54,Norte De Santander,1323,3.121887985103681
2017,54,Norte De Santander,983,2.9929950984313414
2018,54,Norte De Santander,923,2.9656719712201065
2019,54,Norte De Santander,1055,3.0236639181977933
2020,54,Norte De Santander,1071,3.030194785356751
2021,54,Norte De Santander,1020,3.0090257420869104
2022,54,Norte De Santander,856,2.932980821923198
