mes,año,num_hurtos
1,2003,1081
1,2004,876
1,2005,789
1,2006,916
1,2007,865
1,2008,974
1,2009,1113
1,2010,1174
1,2011,1798
1,2012,1947
1,2013,2218
1,2014,1908
1,2015,2331
1,2016,2779
1,2017,3005
1,2018,2665
1,2019,2976
1,2020,3050
1,2021,2625
1,2022,3042
1,2023,3670
1,2024,3488
2,2003,1002
2,2004,858
2,2005,761
2,2006,918
2,2007,842
2,2008,998
2,2009,1038
2,2010,1118
2,2011,1675
2,2012,2147
2,2013,1879
2,2014,1722
2,2015,2141
2,2016,2481
2,2017,2517
2,2018,2511
2,2019,2821
2,2020,2864
2,2021,2620
2,2022,2898
2,2023,3173
2,2024,3255
3,2003,1115
3,2004,956
3,2005,745
3,2006,895
3,2007,841
3,2008,984
3,2009,1045
3,2010,1230
3,2011,1765
3,2012,2136
3,2013,1941
3,2014,1789
3,2015,2095
3,2016,2430
3,2017,2702
3,2018,2628
3,2019,2956
3,2020,1927
3,2021,2576
3,2022,3297
3,2023,3608
3,2024,3225
4,2003,1014
4,2004,848
4,2005,716
4,2006,889
4,2007,833
4,2008,970
4,2009,1031
4,2010,1137
4,2011,1551
4,2012,1917
4,2013,1851
4,2014,1803
4,2015,1981
4,2016,2478
4,2017,2500
4,2018,2932
4,2019,2742
4,2020,857
4,2021,2242
4,2022,3072
4,2023,3514
4,2024,3247
5,2003,1116
5,2004,895
5,2005,769
5,2006,900
5,2007,932
5,2008,980
5,2009,1104
5,2010,982
5,2011,1804
5,2012,2080
5,2013,2088
5,2014,1959
5,2015,2130
5,2016,2599
5,2017,2661
5,2018,2857
5,2019,2982
5,2020,1603
5,2021,2841
5,2022,3118
5,2023,3450
5,2024,3539
6,2003,1063
6,2004,921
6,2005,697
6,2006,925
6,2007,934
6,2008,914
6,2009,998
6,2010,1025
6,2011,1620
6,2012,1983
6,2013,2000
6,2014,1826
6,2015,2162
6,2016,2569
6,2017,2463
6,2018,2756
6,2019,2818
6,2020,1943
6,2021,3224
6,2022,3063
6,2023,3755
6,2024,3297
7,2003,1041
7,2004,914
7,2005,811
7,2006,985
7,2007,856
7,2008,941
7,2009,1055
7,2010,1087
7,2011,1690
7,2012,1966
7,2013,2019
7,2014,2156
7,2015,2252
7,2016,2646
7,2017,2672
7,2018,2867
7,2019,3004
7,2020,2243
7,2021,3024
7,2022,3222
7,2023,3600
7,2024,3401
8,2003,995
8,2004,863
8,2005,734
8,2006,868
8,2007,737
8,2008,941
8,2009,1188
8,2010,1219
8,2011,1718
8,2012,2095
8,2013,2060
8,2014,2145
8,2015,2444
8,2016,2842
8,2017,2601
8,2018,2828
8,2019,3042
8,2020,2258
8,2021,2976
8,2022,3333
8,2023,3544
8,2024,3365
9,2003,987
9,2004,813
9,2005,689
9,2006,854
9,2007,738
9,2008,894
9,2009,1168
9,2010,1067
9,2011,1803
9,2012,1847
9,2013,2065
9,2014,2237
9,2015,2340
9,2016,2681
9,2017,2618
9,2018,2731
9,2019,2994
9,2020,2542
9,2021,2811
9,2022,3440
9,2023,3316
9,2024,3126
10,2003,897
10,2004,880
10,2005,765
10,2006,819
10,2007,734
10,2008,846
10,2009,1252
10,2010,1107
10,2011,1578
10,2012,1768
10,2013,1850
10,2014,2159
10,2015,2562
10,2016,2726
10,2017,2753
10,2018,2659
10,2019,3172
10,2020,2511
10,2021,3086
10,2022,3575
10,2023,3499
10,2024,3103
11,2003,858
11,2004,751
11,2005,813
11,2006,821
11,2007,777
11,2008,917
11,2009,1111
11,2010,1175
11,2011,1845
11,2012,1336
11,2013,1685
11,2014,2136
11,2015,2487
11,2016,2548
11,2017,2682
11,2018,2630
11,2019,2940
11,2020,2465
11,2021,3075
11,2022,3187
11,2023,3450
11,2024,3001
12,2003,881
12,2004,651
12,2005,728
12,2006,758
12,2007,701
12,2008,783
12,2009,1059
12,2010,1033
12,2011,1600
12,2012,1439
12,2013,1562
12,2014,2108
12,2015,2409
12,2016,2614
12,2017,2833
12,2018,2671
12,2019,3265
12,2020,2906
12,2021,3000
12,2022,3270
12,2023,3131
12,2024,2231
